ground_truth,PIPLUP_no_merge,PIPLUP,count
<*> : BTLE discovered device with hash <*>,<*> : BTLE discovered device with hash <*>,<*> : BTLE discovered device with hash <*>,13
Removed expired problem report: <*>,Removed expired problem report: file:<*>,Removed expired problem report: file:<*>,12
-[WebSocketNetWork webSocket:didReceiveMessage:],-[WebSocketNetWork webSocket:didReceiveMessage:],-[WebSocketNetWork webSocket:didReceiveMessage:],12
-[WebSocketNetWork webSocketDidOpen:],-[WebSocketNetWork webSocketDidOpen:],-[WebSocketNetWork webSocketDidOpen:],12
LaunchServices: Could not store lsd-identifiers file at <*>,LaunchServices: Could not store lsd-identifiers file at <*>,LaunchServices: Could not store lsd-identifiers file at <*>,12
"[<*>] [Sync report for calendar home iCloud, failed with error Error Domain=NSURLErrorDomain <*> {Error Domain=kCFErrorDomainCFNetwork <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, <*> NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, <*>","[<*>] [Sync report for calendar home iCloud, failed with error Error Domain=<*> Code=-<*> <*> UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, <*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, <*>}]","[<*>] [Sync report for calendar home iCloud, failed with error Error Domain=<*> Code=-<*> <*> UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, <*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, <*>}]",12
"[<*>] <<< FFR_Common >>> FigFormatReaderCreateForStreamReturningMatchingContainerLabelType: *** Could not find format reader for URL <*> path <*> extension <*> FileType '' MIMETYPE ""(<*>)"" SuggFileName ""(<*>)"" SuggNameExtension ""(<*>)""","[<*>] <<< FFR_Common >>> FigFormatReaderCreateForStreamReturningMatchingContainerLabelType: *** Could not find format reader for URL ""file:<*>%5BKamigami%5D%20Sword%20Art%20Online%<*>%5BBDrip%201920x1080%20x264%20FLAC%20MKV%20Sub(Chs,Jap)%5D/%5BKamigami%5D%20Sword%20Art%20Online%<*>-%<*>%5BBDrip%201920x1080%20x264%20FLAC%5D.mkv"" path ""<*>[Kamigami] Sword Art Online [BDrip 1920x1080 x264 FLAC MKV Sub(Chs,Jap)]/[Kamigami] Sword Art Online - <*> [BDrip 1920x1080 x264 FLAC].mkv"" extension ""mkv"" FileType '' MIMETYPE ""(null)"" SuggFileName ""(null)"" SuggNameExtension ""(null)""","[<*>] <<< FFR_Common >>> FigFormatReaderCreateForStreamReturningMatchingContainerLabelType: *** Could not find format reader for URL ""file:<*>%5BKamigami%5D%20Sword%20Art%20Online%<*>%5BBDrip%201920x1080%20x264%20FLAC%20MKV%20Sub(Chs,Jap)%5D/%5BKamigami%5D%20Sword%20Art%20Online%<*>-%<*>%5BBDrip%201920x1080%20x264%20FLAC%5D.mkv"" path ""<*>[Kamigami] Sword Art Online [BDrip 1920x1080 x264 FLAC MKV Sub(Chs,Jap)]/[Kamigami] Sword Art Online - <*> [BDrip 1920x1080 x264 FLAC].mkv"" extension ""mkv"" FileType '' MIMETYPE ""(null)"" SuggFileName ""(null)"" SuggNameExtension ""(null)""",12
_CGXRemoveWindowFromWindowMovementGroup: window <*> is not attached to window <*>,_CGXRemoveWindowFromWindowMovementGroup: window <*> is not attached to window <*>,_CGXRemoveWindowFromWindowMovementGroup: window <*> is not attached to window <*>,12
Internal name did not resolve to internal address!,Internal name did not resolve to internal address!,Internal name did not resolve to internal address!,12
Sandbox: com.apple.Addres(<*>) deny(<*>) mach-lookup <*>,Sandbox: <*>) deny(<*>) mach-lookup <*>,Sandbox: <*>) deny(<*>) mach-lookup <*>,12
[<*>] FigFormatReaderCreateForStreamReturningMatchingContainerLabelType signalled err=<*> (<*>) (Unrecognized content) at <*> line <*>,[<*>] FigFormatReaderCreateForStreamReturningMatchingContainerLabelType signalled err=-<*> (kFigFormatReaderError_FileNotRecognized) (Unrecognized content) at <*> line <*>,[<*>] FigFormatReaderCreateForStreamReturningMatchingContainerLabelType signalled err=-<*> (kFigFormatReaderError_FileNotRecognized) (Unrecognized content) at <*> line <*>,11
<*> AM [AirPlayUIAgent] BecomingInactive: NSWorkspaceWillSleepNotification,<*> AM [AirPlayUIAgent] BecomingInactive: NSWorkspaceWillSleepNotification,<*> AM [AirPlayUIAgent] BecomingInactive: NSWorkspaceWillSleepNotification,11
"[CardDAVPlugin-ERROR] Exception caught while running sync with server: Error Domain=<*> Code=<*> ""(<*>)""","[CardDAVPlugin-ERROR] Exception caught while running sync with server: Error Domain=<*> Code=<*> ""(null)""","[CardDAVPlugin-ERROR] Exception caught while running sync with server: Error Domain=<*> Code=<*> ""(null)""",11
storeaccountd(<*>) deny file-write-create <*>,storeaccountd(<*>) deny file-write-create <*>,storeaccountd(<*>) deny file-write-create <*>,11
AirPort: RSN handshake complete on <*>,AirPort: RSN handshake complete on en0,AirPort: RSN handshake complete on en0,11
<*> EAP-PEAP: successfully authenticated,en0 EAP-PEAP: successfully authenticated,en0 EAP-PEAP: successfully authenticated,11
"[<*>] <<<< CRABS >>>> crabsFlumeConnectionToHostLost: [<*>] Byte flume reports connection to host lost. No error specified, using kCFURLErrorCannotConnectToHost.","[<*>] <<<< CRABS >>>> crabsFlumeConnectionToHostLost: [<*>] Byte flume reports connection to host lost. No error specified, using kCFURLErrorCannotConnectToHost.","[<*>] <<<< CRABS >>>> crabsFlumeConnectionToHostLost: [<*>] Byte flume reports connection to host lost. No error specified, using kCFURLErrorCannotConnectToHost.",10
extension <*> -> <*>,extension <*> -> (null),extension <*> -> (null),10
SecTaskLoadEntitlements failed error=<*>,SecTaskLoadEntitlements failed error=<*>,SecTaskLoadEntitlements failed error=<*>,10
<*> : Started generating hashes,<*> : Started generating hashes,<*> : Started generating hashes,10
<*> : Finished generating hashes,<*> : Finished generating hashes,<*> : Finished generating hashes,10
<*> : Adding my hashes manually,<*> : Adding my hashes manually,<*> : Adding my hashes manually,10
network changed: <*> DNS! Proxy SMB,network changed: <*>) <*> Proxy SMB,network changed: <*>) <*> Proxy SMB,10
nw_path_query_lqm Tried to query LQM on path with no interfaces,nw_path_query_lqm Tried to query LQM on path with no interfaces,nw_path_query_lqm Tried to query LQM on path with no interfaces,9
[<*>] FigAtomStreamAdvanceToNextAtomWithType signalled err=<*> (<*>) (Atom had a bogus length) at <*> line <*>,[<*>] FigAtomStreamAdvanceToNextAtomWithType signalled err=-<*> (kFigAtomStream_BadLengthInAtom) (Atom had a bogus length) at <*> line <*>,[<*>] FigAtomStreamAdvanceToNextAtomWithType signalled err=-<*> (kFigAtomStream_BadLengthInAtom) (Atom had a bogus length) at <*> line <*>,9
"<*>: DNSServiceCreateConnection: <*> registered records, <*> kDNSServiceFlagsShareConnection operation PID[<*>](<*>)","<*>: DNSServiceCreateConnection: <*> registered records, <*> kDNSServiceFlagsShareConnection operation PID[<*>](Mail)","<*>: DNSServiceCreateConnection: <*> registered records, <*> kDNSServiceFlagsShareConnection operation PID[<*>](Mail)",9
<*>: Could not write data to client PID[<*>](<*>) because of error - aborting connection,<*>: Could not write data to client PID[<*>](Mail) because of error - aborting connection,<*>: Could not write data to client PID[<*>](Mail) because of error - aborting connection,9
[<*>] [WARNING: CalDAVAccountRefreshQueueableOperation :: <*> refresh failed],[<*>] [WARNING: CalDAVAccountRefreshQueueableOperation :: after refresh failed],[<*>] [WARNING: CalDAVAccountRefreshQueueableOperation :: after refresh failed],9
AirPort: Link Down on <*> Reason <*> (Disassociated due to inactivity).,AirPort: Link Down on en0. Reason <*> (Disassociated due to inactivity).,AirPort: Link Down on en0. Reason <*> (Disassociated due to inactivity).,9
"arp_client_transmit(<*>) failed, Network is down (<*>)","arp_client_transmit(en0) failed, Network is down (<*>)","arp_client_transmit(en0) failed, Network is down (<*>)",9
.sdef warning for argument <*> of command <*> in suite <*>: <*> is not a valid type name.,.sdef warning for argument <*> of command <*> is not a valid type name.,.sdef warning for argument <*> of command <*> is not a valid type name.,9
"ARPT: <*>: <*>: Beacon Loss Event, last RSSI[<*>]","ARPT: <*>: wl0: Beacon Loss Event, last RSSI[-<*>]","ARPT: <*>: wl0: Beacon Loss Event, last RSSI[-<*>]",9
"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller <*> Error Domain=<*> Code=<*> ""(<*>)""","[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller principalPropertiesAtURL:https://xpcben%40gmail.com@<*>%40gmail.com/] Error Domain=<*> Code=<*> ""(null)""","[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller principalPropertiesAtURL:https://xpcben%40gmail.com@<*>%40gmail.com/] Error Domain=<*> Code=<*> ""(null)""",9
Sandbox: storeaccountd(<*>) deny(<*>) file-write-create <*>,Sandbox: storeaccountd(<*>) deny(<*>) file-write-create <*>,Sandbox: storeaccountd(<*>) deny(<*>) file-write-create <*>,9
network changed: <*> DNS Proxy SMB,network changed: <*>) <*> Proxy SMB,network changed: <*>) <*> Proxy SMB,8
[<*>] <<<< CRABS >>>> crabsWaitForLoad: <*> Wait time out - <*> (msRequestTimeout <*>),[<*>] <<<< CRABS >>>> crabsWaitForLoad: [<*>] Wait time out - -<*> (msRequestTimeout -<*>),[<*>] <<<< CRABS >>>> crabsWaitForLoad: [<*>] Wait time out - -<*> (msRequestTimeout -<*>),8
No items found in keychain,No items found in keychain,No items found in keychain,8
INSTALLED:<*> <*>(<*>) <__NSConcreteUUID <*>,INSTALLED:<*>) <__NSConcreteUUID <*>,INSTALLED:<*>) <__NSConcreteUUID <*>,8
Failed to <*> a scan - central is not powered on: <*>,Failed to start a scan - central is not powered on: <*>,Failed to start a scan - central is not powered on: <*>,8
Failed to start scanning,Failed to start scanning,Failed to start scanning,8
payload Data <*>,payload Data <*>,payload Data <*>,8
UNINSTALLED:<*> <*>(<*>) <*>,UNINSTALLED:<*>) <*>,UNINSTALLED:<*>) <*>,8
notify name <*> has been registered <*> times - this may be a leak,notify name <*> has been registered <*> times - this may be a leak,notify name <*> has been registered <*> times - this may be a leak,7
Running daily periodic task.,Running daily periodic task.,Running daily periodic task.,7
Cleaning up expired diagnostic messages database at path: <*>,Cleaning up expired diagnostic messages database at path: <*>,Cleaning up expired diagnostic messages database at path: <*>,7
Triggering diganostics messages cleanup,Triggering diganostics messages cleanup,Triggering diganostics messages cleanup,7
SpotlightNetHelp(<*>) deny ipc-posix-shm-read-data <*>:,SpotlightNetHelp(<*>) deny ipc-posix-shm-read-data CFPBS:<*>:,SpotlightNetHelp(<*>) deny ipc-posix-shm-read-data CFPBS:<*>:,6
disable_update_timeout: UI updates were forcibly disabled by application <*> for over <*> seconds. Server has re-enabled them.,disable_update_timeout: UI updates were forcibly disabled by application <*> for over <*> seconds. Server has re-enabled them.,disable_update_timeout: UI updates were forcibly disabled by application <*> for over <*> seconds. Server has re-enabled them.,6
CoreAnimation: timed out fence <*>,CoreAnimation: timed out fence <*>,CoreAnimation: timed out fence <*>,6
vm_compressor_fastwake_warmup (<*> - <*>) - starting,vm_compressor_fastwake_warmup (<*> - <*>) - starting,vm_compressor_fastwake_warmup (<*> - <*>) - starting,6
[<*>] audioMentorThreadForwardOrReversePlayback signalled err=<*> (<*>) (FigSampleGeneratorCreateSampleBufferAtCursor failed) at <*> line <*>,[<*>] <*> signalled err=-<*> (err) (FigSampleGeneratorCreateSampleBufferAtCursor failed) at <*> line <*>,[<*>] <*> signalled err=-<*> (err) (FigSampleGeneratorCreateSampleBufferAtCursor failed) at <*> line <*>,6
Metadata.framework [Error]: void _MDItemMarkAsUsedForPath(<*>): was called with a <*> path,Metadata.framework [Error]: void _MDItemMarkAsUsedForPath(CFStringRef): was called with a NULL path,Metadata.framework [Error]: void _MDItemMarkAsUsedForPath(CFStringRef): was called with a NULL path,6
"<*> : SDWormholeServer::failedToStartScanningWithError Error Domain=<*> Code=<*> ""(os/kern) no access"" UserInfo={NSLocalizedDescription=<*>}","<*> : SDWormholeServer::failedToStartScanningWithError Error Domain=<*> Code=<*> ""(<*>) no access"" UserInfo={NSLocalizedDescription=<*> can't start scanning at this time.}","<*> : SDWormholeServer::failedToStartScanningWithError Error Domain=<*> Code=<*> ""(<*>) no access"" UserInfo={NSLocalizedDescription=<*> can't start scanning at this time.}",6
<*> : Hash <*> exists in contacts,<*> : Hash <*> exists in contacts,<*> : Hash <*> exists in contacts,6
vm_compressor_fastwake_warmup completed - took <*> msecs,<*> completed - took <*> msecs,<*> completed - took <*> msecs,6
[QL] No sandbox token for request <*> it will probably fail,[QL] No sandbox token for request <*> it will probably fail,[QL] No sandbox token for request <*> it will probably fail,6
common_reenable_update: UI updates were finally reenabled by application <*> after <*> seconds [<*>] (server forcibly re-enabled them after <*> seconds [<*>]),common_reenable_update: UI updates were finally reenabled by application <*> after <*> seconds [<*>] (server forcibly re-enabled them after <*> seconds [<*>]),common_reenable_update: UI updates were finally reenabled by application <*> after <*> seconds [<*>] (server forcibly re-enabled them after <*> seconds [<*>]),6
client <*> plug-in <*> election := <*>,client <*> plug-in <*> election := <*>,client <*> plug-in <*> election := <*>,5
XPC Activity invoked with state=<*>,XPC Activity invoked with state=<*>,XPC Activity invoked with state=<*>,5
[EAPOLControl.c:<*>] EAPOLControlAuthInfoIsValid(): Ignoring SaveCredentialsOnSuccessfulAuthentication since no credentials were specified,[EAPOLControl.c:<*>] EAPOLControlAuthInfoIsValid(): Ignoring SaveCredentialsOnSuccessfulAuthentication since no credentials were specified,[EAPOLControl.c:<*>] EAPOLControlAuthInfoIsValid(): Ignoring SaveCredentialsOnSuccessfulAuthentication since no credentials were specified,5
"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller <*>] Error Domain=<*> Code=<*> <*> UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}","[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:https:<*>] Error Domain=<*> Code=-<*> ""A server with the specified hostname could not be found."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""A server with the specified hostname could not be found."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> server with the specified hostname could not be found.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> server with the specified hostname could not be found.}","[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:https:<*>] Error Domain=<*> Code=-<*> ""A server with the specified hostname could not be found."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""A server with the specified hostname could not be found."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> server with the specified hostname could not be found.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> server with the specified hostname could not be found.}",5
[QL] No sandbox token for thumbnail request <*> it will probably fail,[QL] No sandbox token for thumbnail <*> it will probably fail,[QL] No sandbox token for thumbnail <*> it will probably fail,5
Watch set is now: {(,Watch set is now: {(,Watch set is now: {(,5
<INFO> RQD: UserInfoUploadHandler clean <*> records,<INFO> RQD: UserInfoUploadHandler clean <*> records,<INFO> RQD: UserInfoUploadHandler clean <*> records,5
Garcon is ready (<*> alive).,Garcon is ready (<*> alive).,Garcon is ready (<*> alive).,5
Garcon destroyed (<*> alive).,Garcon destroyed (<*> alive).,Garcon destroyed (<*> alive).,5
GVA warning: addNewReferenceEntry_MMCO mmcoFunc1 not found requested <*> curr = <*>,GVA warning: addNewReferenceEntry_MMCO mmcoFunc1 not found requested <*> curr = <*>,GVA warning: addNewReferenceEntry_MMCO mmcoFunc1 not found requested <*> curr = <*>,5
Connecting to Dropbox on '<*>',Connecting to Dropbox on '<*>',Connecting to Dropbox on '<*>',5
Connected to Dropbox on <*>.,Connected to Dropbox on '<*>'.,Connected to Dropbox on '<*>'.,5
<INFO> RQD: create user info for daily using,<INFO> RQD: create user info for daily using,<INFO> RQD: create user info for daily using,5
<INFO> RQD: UserInfoUploadHandler success finish request with <*> records,<INFO> RQD: UserInfoUploadHandler success finish request with <*> records,<INFO> RQD: UserInfoUploadHandler success finish request with <*> records,5
<INFO> RQD: Persist userinfo data with count <*>,<INFO> RQD: Persist userinfo data with count <*>,<INFO> RQD: Persist userinfo data with count <*>,5
Invalidating watch set.,Invalidating watch set.,Invalidating watch set.,5
<*>: <*> User Mode,en0: <*> User Mode,en0: <*> User Mode,5
<*> STOP,en0 STOP,en0 STOP,5
<*> START uid <*> gid <*>,en0 START uid <*> gid <*>,en0 START uid <*> gid <*>,5
-> DNSServiceQueryRecord <*> (PTR) PID[<*>](),-> DNSServiceQueryRecord <*>.in-addr.arpa. (PTR) PID[<*>](),-> DNSServiceQueryRecord <*>.in-addr.arpa. (PTR) PID[<*>](),5
vm_compressor_record_warmup (<*> - <*>),vm_compressor_record_warmup (<*> - <*>),vm_compressor_record_warmup (<*> - <*>),5
(Volume.Normal:<*>) volume:<*> ********** Bootstrapped Creating a default store:<*> SpotLoc:<*> SpotVerLoc:<*> occlude:<*> <*>,(Volume.Normal:<*>) volume:<*> ********** Bootstrapped Creating a default store:<*> SpotLoc:(null) SpotVerLoc:(null) occlude:<*> HD,(Volume.Normal:<*>) volume:<*> ********** Bootstrapped Creating a default store:<*> SpotLoc:(null) SpotVerLoc:(null) occlude:<*> HD,5
"wifi scan failed with error: Error Domain=<*> <*> ""(<*>)""","wifi scan failed with error: Error Domain=<*> Code=-<*> ""(null)""","wifi scan failed with error: Error Domain=<*> Code=-<*> ""(null)""",5
ImageIO: CGImageDestinationFinalize image destination does not have enough images,ImageIO: CGImageDestinationFinalize image destination does not have enough images,ImageIO: CGImageDestinationFinalize image destination does not have enough images,5
network changed: Proxy,network changed: Proxy,network changed: Proxy,5
hfs: unmount initiated on Recovery HD on device <*>,hfs: unmount initiated on Recovery HD on device disk0s3,hfs: unmount initiated on Recovery HD on device disk0s3,5
hfs: mounted Recovery HD on device <*>,hfs: mounted Recovery HD on device disk0s3,hfs: mounted Recovery HD on device disk0s3,5
Logging disabled completely for device:<*>: <*>,Logging disabled completely for device:<*>: <*> HD,Logging disabled completely for device:<*>: <*> HD,5
handle_will_sleep_auth_and_shield_windows: NULL shield_window (lock state: <*>),handle_will_sleep_auth_and_shield_windows: NULL shield_window (lock state: <*>),handle_will_sleep_auth_and_shield_windows: NULL shield_window (lock state: <*>),5
Captive: [CNInfoNetworkActive:<*>] <*>: SSID <*> making interface primary (cache indicates network not captive),Captive: [CNInfoNetworkActive:<*>] en0: SSID 'AirBears2' making interface primary (cache indicates network not captive),Captive: [CNInfoNetworkActive:<*>] en0: SSID 'AirBears2' making interface primary (cache indicates network not captive),4
Captive: <*>: Not probing <*> (cache indicates not captive),Captive: en0: Not probing 'AirBears2' (cache indicates not captive),Captive: en0: Not probing 'AirBears2' (cache indicates not captive),4
AppleCameraGetProperties: SetPropertyNotificationPort status=<*>,AppleCameraGetProperties: SetPropertyNotificationPort status=<*>,AppleCameraGetProperties: SetPropertyNotificationPort status=<*>,4
process <*> caught causing excessive wakeups. Observed wakeups rate (per sec): <*>; Maximum permitted wakeups rate (per sec): <*>; Observation period: <*> seconds; Task lifetime number of wakeups: <*>,process <*>] caught causing excessive wakeups. Observed wakeups rate (per sec): <*>; Maximum permitted wakeups rate (per sec): <*>; Observation period: <*> seconds; Task lifetime number of wakeups: <*>,process <*>] caught causing excessive wakeups. Observed wakeups rate (per sec): <*>; Maximum permitted wakeups rate (per sec): <*>; Observation period: <*> seconds; Task lifetime number of wakeups: <*>,4
[<*>] vtDecompressionDuctCreate signalled err=<*> (err) (Could not select and open decoder instance) at <*> line <*>,[<*>] vtDecompressionDuctCreate signalled err=-<*> (err) (Could not select and open decoder instance) at <*> line <*>,[<*>] vtDecompressionDuctCreate signalled err=-<*> (err) (Could not select and open decoder instance) at <*> line <*>,4
setsockopt - IP_ADD_MEMBERSHIP error <*> errno <*> (Can't assign requested address) group <*> on <*>,setsockopt - IP_ADD_MEMBERSHIP error -<*> errno <*> (Can't assign requested address) group <*> on <*>,setsockopt - IP_ADD_MEMBERSHIP error -<*> errno <*> (Can't assign requested address) group <*> on <*>,4
Invoking spindump for pid=<*> wakeups_rate=<*> duration=<*> because of excessive wakeups,Invoking spindump for pid=<*> wakeups_rate=<*> duration=<*> because of excessive wakeups,Invoking spindump for pid=<*> wakeups_rate=<*> duration=<*> because of excessive wakeups,4
setup(?:obsolete) failed rcode=<*>,setup(?:obsolete) failed rcode=<*>,setup(?:obsolete) failed rcode=<*>,4
[<*>] <<< CFByteFlume >>> fbf_TCPConnEventHandler: <*> tcp_connection succeeded in reconnection attempt. Network problem appears to be resolved.,[<*>] <<< CFByteFlume >>> fbf_TCPConnEventHandler: [<*>] tcp_connection succeeded in reconnection attempt. Network problem appears to be resolved.,[<*>] <<< CFByteFlume >>> fbf_TCPConnEventHandler: [<*>] tcp_connection succeeded in reconnection attempt. Network problem appears to be resolved.,4
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSServerUpdateRequest(PrivateMethods) fetcher:failedWithError:] KSServerUpdateRequest fetch failed. (productID: <*>) [com.google.UpdateEngine.CoreErrorDomain:<*> - '<*>'] (The Internet connection appears to be offline. [NSURLErrorDomain:<*>]),<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSServerUpdateRequest(PrivateMethods) fetcher:failedWithError:] KSServerUpdateRequest fetch failed. (productID: <*>) [<*> - '<*>'] (The Internet connection appears to be offline. [NSURLErrorDomain:-<*>]),<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSServerUpdateRequest(PrivateMethods) fetcher:failedWithError:] KSServerUpdateRequest fetch failed. (productID: <*>) [<*> - '<*>'] (The Internet connection appears to be offline. [NSURLErrorDomain:-<*>]),4
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] The Internet connection appears to be offline. [NSURLErrorDomain:-<*>] (The Internet connection appears to be offline. [kCFErrorDomainCFNetwork:-<*>]),<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] The Internet connection appears to be offline. [NSURLErrorDomain:-<*>] (The Internet connection appears to be offline. [kCFErrorDomainCFNetwork:-<*>]),<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] The Internet connection appears to be offline. [NSURLErrorDomain:-<*>] (The Internet connection appears to be offline. [kCFErrorDomainCFNetwork:-<*>]),4
.sdef warning for attribute <*> of class <*> in suite <*>: <*> is not a valid type name.,.sdef warning for <*> of <*> '<*> Suite': <*> is not a valid type name.,.sdef warning for <*> of <*> '<*> Suite': <*> is not a valid type name.,4
-[NETAWDManager reportStats:metricID:] AWDServerConnection newMetricContainerWithIdentifier failed for metric <*> server <*> not reporting:,-[NETAWDManager reportStats:metricID:] AWDServerConnection newMetricContainerWithIdentifier failed for metric <*> server <*> not reporting:,-[NETAWDManager reportStats:metricID:] AWDServerConnection newMetricContainerWithIdentifier failed for metric <*> server <*> not reporting:,4
"[<*>] <<< CFByteFlume >>> FigCFHTTPReadResponse: [<*>] New network problem detected, error =<*> Error Domain=<*> Code=<*> <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}","[<*>] <<< CFByteFlume >>> FigCFHTTPReadResponse: [<*>] New network problem detected, error = <*> Domain=<*> Code=-<*> ""?????????????"" UserInfo={NSErrorFailingURLStringKey=<*>=&refer=<*>&Expires=<*>&ssig=<*>&KID=<*>,video, NSErrorFailingURLKey=<*>=&refer=<*>&Expires=<*>&ssig=<*>&KID=<*>,video, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=?????????????}","[<*>] <<< CFByteFlume >>> FigCFHTTPReadResponse: [<*>] New network problem detected, error = <*> Domain=<*> Code=-<*> ""?????????????"" UserInfo={NSErrorFailingURLStringKey=<*>=&refer=<*>&Expires=<*>&ssig=<*>&KID=<*>,video, NSErrorFailingURLKey=<*>=&refer=<*>&Expires=<*>&ssig=<*>&KID=<*>,video, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=?????????????}",4
-> DNSServiceGetAddrInfo <*> v4v6 <*> PID[<*>](),-> DNSServiceGetAddrInfo <*> v4v6 <*> PID[<*>](),-> DNSServiceGetAddrInfo <*> v4v6 <*> PID[<*>](),4
